Barcode,Well,Result
NB00153860,V11,5158764
NB00153860,V12,5147237
NB00153860,V13,5086877
NB00153860,V14,5290008
NB00153860,V15,5213716
NB00153860,V16,5065380
NB00153860,V17,5165422
NB00153860,V18,5183962
NB00153860,V19,5118563
NB00153860,V20,5134567
NB00153860,V21,5107084
NB00153860,V22,5096169
NB00153860,V23,5090739
NB00153860,V24,5160761
NB00153860,V25,5138203
NB00153860,V26,5244714
NB00153860,V27,5480714
NB00153860,V28,5169885
NB00153860,V29,5398297
NB00153860,V30,5441485
NB00153860,V31,5284135
NB00153860,V32,5262911
NB00153860,V33,5394637
NB00153860,V34,5442441
NB00153860,V35,5392840
NB00153860,V36,5557173
NB00153860,V37,5542780
NB00153860,V38,5510252
NB00153860,V39,5521143
NB00153860,V40,5466449
NB00153860,V41,5633441
NB00153860,V42,5587520
NB00153860,V43,5509306
NB00153860,V44,5512517
NB00153860,V45,153985
NB00153860,V46,152962
NB00153860,V47,153468
NB00153860,V48,150780
NB00153860,W01,5166794
NB00153860,W02,5296383
NB00153860,W03,5114425
NB00153860,W04,5142191
NB00153860,W05,5038812
NB00153860,W06,4965300
NB00153860,W07,4959746
NB00153860,W08,4791959
NB00153860,W09,4853712
NB00153860,W10,4881789
NB00153860,W11,4949198
NB00153860,W12,4826845
NB00153860,W13,4880500
NB00153860,W14,4977592
NB00153860,W15,4927373
NB00153860,W16,4926398
NB00153860,W17,4925580
NB00153860,W18,5615777
NB00153860,W19,4967674
